id,isbn13,isbn10,title,language,binding,release_date,edition,pages,dimensions,rating,publisher,author,copies
241,9781405188623,1405188626,A Companion to African American Literature,English,Hardcover,2010-05-01,,,,3.4,"Wiley, John & Sons, Incorporated",Gene A. Jarrett,10
242,9781604732146,1604732148,Conversations with Mexican American Writers: Languages and Literatures in the Borderlands,English,Hardcover,2009-05-01,,,,1.7,University Press of Mississippi,"Elisabeth Mermann-Jozwiak, Nancy Sullivan",13
243,9781880000762,1880000768,The Palm of My Heart: Poetry by African American Children,English,Hardcover,2003-05-01,,32,7.98 (w) x 9.86 (h) x 0.09 (d),3.6,"Lee & Low Books, Inc.","Davida Adedjouma (Editor), Gregory Christie (Illustrator), Lucille Clifton",13
244,9780313308604,313308608,"Women and Children of the Mills: An Annotated Guide to Nineteenth-Century American Textile Factory Literature, Vol. 28",English,Hardcover,1999-07-01,,348,6.51 (w) x 9.61 (h) x 1.16 (d),1.2,"Greenwood Publishing Group, Incorporated",Judith Ranta,9
245,9780804111676,804111677,Rising Voices,English,Mass Market Paperback,1993-07-01,REPRINT,131,4.20 (w) x 6.86 (h) x 0.40 (d),3.0,Random House Publishing Group,"Arlene Hirschfelder, Beverly R. Singer",3
246,9780345383174,345383176,Brotherman: The Odyssey of Black Men in America--an Anthology,English,Paperback,1996-01-01,Reprint,960,5.48 (w) x 8.24 (h) x 1.56 (d),4.2,Random House Publishing Group,"Robert Allen, Herb Boyd",18
247,9780345382221,345382226,Literary Journalism: A New Collection of the Best American Nonfiction,English,Paperback,1995-05-01,1,480,6.00 (w) x 9.00 (h) x 0.82 (d),3.9,Random House Publishing Group,"Mark Kramer, Norman Sims",9
248,9781931082563,1931082561,Americans in Paris: A Literary Anthology,English,Hardcover,2004-03-01,,650,6.36 (w) x 9.32 (h) x 1.37 (d),4.5,Library of America,Adam Gopnik,7
249,9780140390148,140390146,Uncle Remus: His Songs and His Sayings,English,Paperback,1982-09-01,,224,5.15 (w) x 7.87 (h) x 0.61 (d),1.3,Penguin Group (USA),"Joel Chandler Harris, Robert Hemenway",10
250,9780820321042,820321044,Running a Thousand Miles for Freedom: The Escape of William and Ellen Craft from Slavery,English,Paperback,1999-04-01,,152,5.50 (w) x 8.50 (h) x 0.35 (d),3.1,University of Georgia Press,"Craft, Ellen Craft, Barbara McCaskill",10
251,9780918949257,918949254,If I Had My Life to Live Over,English,Hardcover,2010-01-01,,205,7.22 (w) x 9.61 (h) x 0.83 (d),2.7,Moyer Bell,"Sandra Martz, Sandra Martz",14
252,9780393310900,393310906,Postmodern American Poetry: A Norton Anthology,English,Paperback,1994-05-01,,,,2.5,"Norton, W. W. & Company, Inc.","Paul Hoover, Ed Paschke (Illustrator), Chris Welch",6
253,9781400033218,1400033217,Sisters of the Earth: Women's Prose and Poetry About Nature,English,Paperback,2003-12-01,Revised,496,5.19 (w) x 8.00 (h) x 1.02 (d),1.4,Knopf Doubleday Publishing Group,"Lorraine Anderson, Lorraine Anderson",16
254,9781598530339,159853033X,The Lincoln Anthology: Great Writers on His Life and Legacy from 1860 to Now,English,Hardcover,2008-12-01,,800,5.20 (w) x 8.14 (h) x 1.64 (d),3.4,Library of America,Harold Holzer,12
